# pt_bbZ-zoom-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj20
              0              0              0              0              0              0              0
              1              0              0              0              0              0              0
              2              0              0              0              0              0              0
              3              0              0              0              0              0              0
              4              0              0              0              0              0              0
              5              0              0              0              0              0              0
              6              0              0              0              0              0              0
              7              0              0              0              0              0              0
              8              0              0              0              0              0              0
              9              0              0              0              0              0              0
             10              0              0              0              0              0              0
             11              0              0              0              0              0              0
             12              0              0              0              0              0              0
             13              0              0              0              0              0              0
             14              0              0              0              0              0              0
             15              0              0              0              0              0              0
             16              0              0              0              0              0              0
             17              0              0              0              0              0              0
             18              0              0              0              0              0              0
             19              0              0              0              0              0              0
             20      580.98148     0.95835537      486.22458     0.80246517      706.65871      1.1744017
             21      552.17443     0.93077817      461.95121     0.77998572      671.91212       1.140919
             22      526.49963      0.9111346      440.15095     0.76228159      641.25362      1.1177528
             23      503.26884      0.8905315      420.51099     0.74495446      613.33826      1.0933401
             24      480.21897     0.86898592      400.86944     0.72625926      585.94883      1.0671204
             25      460.23945     0.85176647      383.96892     0.71171117      561.97142      1.0485216
             26      438.26633     0.83206107      365.44179      0.6945405       535.4865      1.0234952
             27      420.35481     0.81508161      350.29697     0.67974293      513.97709      1.0040687
             28      403.98315     0.79942311      336.41674     0.66638718      494.38896     0.98503225
             29      386.77315      0.7817873      321.95442     0.65343789      473.56027     0.96796736
             30      370.86197     0.76533036      308.49566     0.63736499      454.47026     0.94438804
             31      356.79207     0.75239207      296.69826     0.62616875      437.39539     0.92896195
             32      341.82609     0.75137637      284.03726     0.62282102      419.44121     0.93194639
             33      329.29836     0.72244653      273.63311     0.60152969      404.05337     0.89460346
             34      316.78598     0.71092453       263.0752     0.59120625      388.98501     0.88065577
             35      304.07413     0.69479278      252.39965     0.57757674      373.60169     0.86102083
             36      292.31534     0.68087512      242.53576     0.56558331      359.33567     0.84309813
             37       282.8068     0.67283536      234.46355     0.55799934      347.97762     0.83377967
             38      271.91429      0.6613532      225.39555     0.54823356       334.6404     0.81996686
             39      262.67495     0.65027278      217.69423     0.53907406      323.34972     0.80709445
             40      252.21192       0.632866      208.88311     0.52472826      310.71768     0.78444018
             41      241.75215     0.62097149      200.11565     0.51442805      298.02404     0.77083406
             42      234.68502     0.61273058      194.23488      0.5081995      289.36479     0.76234188
             43      227.14683     0.60067349       187.8822     0.49848926      280.27982     0.74881418
             44      217.51784     0.58931445      179.90814     0.48796244      268.40439     0.73294648
             45      210.83553     0.57951518      174.25854     0.47956719       260.3959     0.72050818
             46      203.83105     0.57205761      168.45424     0.47312385      251.76355     0.71182523
             47      195.80818     0.56153578      161.77281     0.46585367      241.94411     0.70314236
             48      190.04998     0.55196754      156.94913     0.45611388      234.94822     0.68724444
             49      183.24743     0.54020512      151.28332     0.44652285      226.62429     0.67265707
             50      183.24743     0.54020512      151.28332     0.44652285      226.62429     0.67265707
